"COUNTY","STATE","POPULATION","UNEMPLOYMENT_RATE","DENSITY"
"queen anne's","MD",48929,3.8,"128.5"
"queens","NY",2333054,4.5,"20553.6"
"quitman","GA",2335,7.4,"16.6"
"rabun","GA",16559,5.9,"44"
"racine","WI",195140,5.1,"587.7"
"radford city","VA",17483,5.4,"1662.2"
"ralls","MO",10224,4,"21.6"
"ramsey","MN",540649,3.6,"3341.6"
"randall","TX",132501,3,"132.4"
"randolph","AL",22652,5.7,"39.5"
"randolph","GA",7177,8.5,"18"
"randolph","IL",32621,5,"58.2"
"randolph","MO",24989,5.2,"52.7"
"rankin","MS",150228,4,"182.6"
"rapides parish","LA",132424,6.1,"99.9"
"rappahannock","VA",7388,3.5,"27.7"
"ray","MO",22754,4.9,"41.3"
"reagan","TX",3608,6.6,"2.9"
"red lake","MN",4007,7.2,"9.5"
"red river","TX",12207,5.9,"12.4"
"redwood","MN",15263,4.1,"18.3"
"refugio","TX",7321,6.8,"9.6"
"reno","KS",63220,4.6,"51.4"
"rensselaer","NY",160070,4.3,"244.4"
"renville","MN",14660,5.3,"16"
"reynolds","MO",6455,6.5,"8.3"
"rice","KS",9831,4.2,"13.9"
"rice","MN",65622,3.5,"129.4"
"rich","UT",2319,3.2,"2.2"
"richland","IL",15930,6,"45.1"
"richland","OH",121107,5.5,"251.3"
"richland","SC",409549,4.7,"507.9"
"richmond","GA",201647,6.7,"618.4"
"richmond","NY",476015,5.2,"8030.3"
"richmond","NC",44939,7,"98.4"
"richmond","VA",8774,3.7,"48.3"
"richmond city","VA",223170,4.6,"3414.7"
"riley","KS",73343,3.3,"116.6"
"rio arriba","NM",40040,7.5,"6.9"
"rio grande","CO",11479,5.1,"13.1"
"ripley","MO",13817,7,"22.4"
"riverside","CA",2387741,6.1,"303.8"
"roanoke city","VA",99660,4.3,"2279.8"
"robertson","TN",69165,4.2,"139.2"
"robeson","NC",133235,7.9,"141.3"
"rock","MN",9564,2.3,"20.1"
"rock","WI",161620,4.6,"223.3"
"rock island","IL",144784,6.3,"345"
"rockbridge","VA",22392,4.4,"37.3"
"rockingham","NH",303251,3,"425"
"rockingham","VA",79744,3.5,"89.9"
"rockland","NY",326780,4.2,"1795.9"
"rockwall","TX",93978,3.5,"616.7"
"rogers","OK",91766,5.1,"128.6"
"roscommon","MI",23700,8.1,"47.1"
"roseau","MN",15626,5.1,"9.3"
"ross","OH",77000,5.5,"113.3"
"routt","CO",24648,2.7,"10"
"rowan","NC",139933,5.5,"270.7"
"runnels","TX",10448,4.1,"10"
"rush","IN",16649,3.8,"42.6"
"rusk","TX",52732,5.8,"57.7"
"russell","AL",58172,5.6,"82.6"
"russell","KS",6988,4.5,"7.9"
"russell","VA",27370,6.5,"61"
"rutherford","NC",66421,6.7,"120.2"
"rutherford","TN",308251,3.8,"424"
"rutland","VT",59310,3.9,"66.3"
"sabine","TX",10303,9.6,"22"
"sacramento","CA",1514460,5.4,"1470.8"
"saginaw","MI",192326,5.1,"250.2"
"saguache","CO",6389,4.9,"1.9"
"salem","NJ",63436,6.3,"199.1"
"salem city","VA",25549,3.9,"1718"
"saline","AR",118703,3.2,"148"
"saline","IL",24307,8.6,"65.6"
"saline","KS",55142,3.8,"77.2"
"salt lake","UT",1121354,3.2,"1387.1"
"sampson","NC",63124,5.4,"67.1"
"san benito","CA",59414,6.8,"39.8"
"san bernardino","CA",2140096,5.7,"101.5"
"san diego","CA",3317749,4.7,"735.8"
"san joaquin","CA",733709,8.1,"492.6"
"san juan","CO",694,3.8,"1.8"
"san juan","NM",115079,8.9,"23.6"
"san juan","UT",16895,8,"1.9"
"san juan","WA",16339,4.8,"90.7"
"san luis obispo","CA",282887,4.3,"81.7"
"san mateo","CA",764797,3,"1602.2"
"san miguel","CO",8017,3.3,"5.7"
"san patricio","TX",67655,7.6,"93.5"
"sandoval","NM",142025,6.7,"35.5"
"sangamon","IL",197499,4.9,"227.4"
"sanilac","MI",41409,6,"44.8"
"santa barbara","CA",446170,5,"155"
"santa clara","CA",1919402,3.8,"1381"
"santa cruz","AZ",45985,9.9,"38.3"
"santa cruz","CA",274673,6.9,"589.4"
"santa fe","NM",148651,5.4,"75.5"
"santa rosa","FL",170497,4.5,"149.6"
"sarasota","FL",412569,4.6,"682.6"
"saratoga","NY",227053,3.8,"271.1"
"sarpy","NE",179023,3,"664.6"
"saunders","NE",21038,3.2,"27.7"
"sawyer","WI",16369,6.5,"13.2"
"schenectady","NY",154553,4.3,"756.6"
"schleicher","TX",3056,5.7,"2.6"
"schoharie","NY",31317,5.4,"52.7"
"schoolcraft","MI",8001,9.1,"7.2"
"schuyler","IL",6923,5.8,"17.3"
"schuyler","MO",4394,6.3,"14.4"
"schuyler","NY",18099,6,"55.9"
"scioto","OH",76088,7.6,"130.3"
"scotland","MO",4932,4.1,"11.1"
"scotland","NC",35244,9.2,"113.4"
"scott","IL",5053,5.6,"21.3"
"scott","IA",172474,4.6,"360.7"
"scott","MN",143680,3.3,"364.5"
"scott","MS",28207,4.6,"46.4"
"scott","VA",21930,4.8,"43.3"
"scurry","TX",17333,5.9,"18.7"
"sebastian","AR",127793,3.7,"236.4"
"sedgwick","CO",2407,2.4,"4.3"
"sedgwick","KS",511995,4.8,"499.6"
"seminole","FL",455479,4.3,"1367"
"seminole","GA",8468,7.9,"37.1"
"seminole","OK",25207,7.1,"40.3"
"seneca","NY",34777,4.7,"108.9"
"seneca","OH",55353,4.8,"103"
"sevier","UT",21267,4.4,"10.9"
"seward","KS",22709,4.6,"35.9"
"shannon","MO",8168,7.4,"8.4"
"shasta","CA",179631,6.9,"46.9"
"shawnee","KS",178146,4.1,"327.1"
"sheboygan","WI",115427,3.5,"225.9"
"shelby","AL",210622,4.4,"248.5"
"shelby","IL",21717,5.8,"29.5"
"shelby","TN",934603,5.5,"1215.5"
"shenandoah","VA",43175,3.7,"82.5"
"sherburne","MN",93528,4.1,"204.4"
"sheridan","WY",30200,4.6,"11.5"
"sherman","OR",1710,4.6,"2.1"
"sherman","TX",3068,2.9,"3.3"
"shiawassee","MI",68554,5.1,"133.1"
"sibley","MN",14827,4.3,"25.9"
"sierra","CA",2947,7.6,"3.4"
"sierra","NM",11191,8.5,"2.9"
"siskiyou","CA",43603,8.5,"7.2"
"skagit","WA",123681,6.8,"67.5"
"skamania","WA",11510,7.2,"6.7"
"smith","MS",15909,5.3,"25.9"
"smith","TX",225290,4.5,"227.6"
"smyth","VA",31062,5.8,"71.4"
"snohomish","WA",787620,4.4,"341.8"
"snyder","PA",40468,4.7,"120.8"
"socorro","NM",17027,7.5,"2.7"
"solano","CA",440207,5.5,"503"
"somerset","MD",25928,7,"82.8"
"somerset","NJ",333751,4.1,"1071.7"
"somerset","PA",75061,7.3,"72.4"
"somervell","TX",8775,4.7,"45.5"
"sonoma","CA",503070,4,"307.1"
"southampton","VA",18057,3.9,"31"
"spalding","GA",64806,6.8,"326.1"
"spencer","IN",20648,4.1,"52.8"
"spokane","WA",499072,6.3,"267.2"
"spotsylvania","VA",132010,4.1,"304.9"
"st. charles","MO",390918,3.5,"643.2"
"st. clair","IL",262759,6.1,"410.6"
"st. clair","MI",159587,6.2,"226.1"
"st. clair","MO",9272,6.3,"14.6"
"st. francois","MO",66627,5.5,"144.6"
"st. johns","FL",235087,3.7,"316.4"
"st. joseph","IN",269141,4.5,"583"
"st. joseph","MI",60853,4,"122.4"
"st. lawrence","NY",110038,6.6,"41.8"
"st. louis","MN",199980,5.8,"32"
"st. louis","MO",998581,4.2,"1967.2"
"st. louis city","MO",311404,5.4,"5157.5"
"st. lucie","FL",306507,5.7,"485.7"
"st. mary's","MD",112587,4.1,"294.4"
"stafford","VA",144361,3.9,"479.5"
"stanislaus","CA",541560,8.5,"344.2"
"stanly","NC",60791,4.6,"153.3"
"stark","IL",5776,7.2,"20.8"
"stark","OH",373612,5.4,"652.9"
"starke","IN",23009,5.4,"75.6"
"staunton city","VA",24363,3.9,"1188.8"
"ste. genevieve","MO",18030,4.6,"36.4"
"stearns","MN",155652,3.8,"112.2"
"steele","MN",36805,3.6,"85.1"
"stephens","GA",25751,5.9,"146.1"
"stephens","OK",44090,9.7,"51.8"
"stephens","TX",9906,5.3,"10.7"
"stephenson","IL",45624,5.8,"84.5"
"sterling","TX",1367,4.2,"1.2"
"steuben","NY",96940,5.8,"71.2"
"stevens","MN",9693,3,"17.3"
"stevens","WA",44439,8.6,"17.6"
"stewart","GA",5705,6.6,"13.2"
"stoddard","MO",29588,6.4,"36.4"
"stone","MO",31047,7,"69.4"
"storey","NV",4051,6.3,"15.3"
"story","IA",97090,2.4,"156.3"
"strafford","NH",127428,2.5,"333.7"
"suffolk","MA",784230,3.4,"12415.6"
"suffolk","NY",1492583,4.3,"1637.4"
"suffolk city","VA",89273,4.7,"211.4"
"sullivan","IN",20802,5.9,"48"
"sullivan","MO",6262,5.8,"10.4"
"sullivan","NY",74801,4.8,"80.1"
"sullivan","PA",6137,7.2,"14.3"
"sullivan","TN",156667,5.3,"379.4"
"summit","CO",30374,2.1,"46"
"summit","OH",540300,5,"1312.6"
"summit","UT",40307,3.1,"19.4"
"sumner","TN",180063,3.9,"303.4"
"sumter","FL",123996,7,"170.8"
"sumter","GA",30389,7.7,"68"
"sumter","SC",107396,5.7,"161.6"
"susquehanna","PA",40862,5.7,"52.7"
"sussex","NJ",142522,4.7,"287.6"
"sussex","VA",11504,6.1,"24.7"
"sutter","CA",96651,9.6,"157.3"
"sutton","TX",3869,8,"2.8"
"suwannee","FL",43794,4.9,"60.3"
"sweetwater","WY",44165,6,"4.2"
"swift","MN",9419,5.3,"13.2"
"talbot","GA",6171,6.7,"17.5"
"talbot","MD",37278,4.1,"140.7"
"taliaferro","GA",1593,6.5,"8.8"
"tallahatchie","MS",14394,6.8,"23.8"
"tallapoosa","AL",40727,5.6,"58.1"
"taos","NM",33065,8.5,"15"
"tarrant","TX",2016872,3.9,"2094.7"
"taylor","FL",22175,5.5,"21.6"
"taylor","GA",8232,7.2,"23.6"
"taylor","TX",136535,3.7,"143.6"
"tazewell","IL",134385,6.3,"208.6"
"tazewell","VA",42150,7.5,"86.9"
"tehama","CA",63276,7.1,"21.5"
"telfair","GA",15965,8.6,"37.7"
"teller","CO",24043,3.8,"41.9"
"terrell","GA",8967,6.6,"27.8"
"terrell","TX",812,4.1,"0.4"
"terry","TX",12799,4.9,"14.2"
"texas","MO",25775,6.2,"22.1"
"throckmorton","TX",1533,3.7,"1.8"
"thurston","WA",275222,5.8,"349.4"
"tift","GA",40828,5.5,"154.9"
"tioga","NY",48760,5.1,"98.6"
"tioga","PA",41467,7.2,"37"
"tippecanoe","IN",188059,4,"345.7"
"tipton","IN",15182,3.9,"61.2"
"titus","TX",32592,6.2,"79.6"
"todd","MN",24233,4.7,"26.3"
"tolland","CT",151118,4.4,"372.2"
"tom green","TX",118386,4.5,"72.4"
"tompkins","NY",104871,4.1,"214"
"tooele","UT",64833,3.8,"8.4"
"toombs","GA",27196,7.8,"74.8"
"torrance","NM",15302,9.1,"4.9"
"transylvania","NC",33482,4.9,"87.4"
"traverse","MN",3356,3.7,"6.2"
"travis","TX",1199323,3.1,"1034.4"
"trego","KS",2872,4.2,"3.4"
"treutlen","GA",6637,7.8,"34.5"
"trinity","CA",12782,7.1,"4.3"
"trinity","TX",14442,6.3,"21"
"trumbull","OH",201825,6.7,"340.1"
"tulare","CA",460437,11,"91.7"
"tulsa","OK",642940,4.7,"1058.1"
"tuolumne","CA",53804,6.2,"24.9"
"turner","GA",8030,6.6,"31.3"
"tuscaloosa","AL",206102,5.8,"147.3"
"tuscarawas","OH",92420,5.7,"163.1"
"tuscola","MI",53338,6.1,"69.4"
"twiggs","GA",8171,8.7,"25.2"
"twin falls","ID",83514,3.4,"40.2"
"tyler","TX",21320,7.6,"23.5"
"tyrrell","NC",4141,8.4,"11.3"
"ulster","NY",179225,4.4,"162.3"
"umatilla","OR",76456,5.4,"23.6"
"union","FL",15142,4.4,"63.8"
"union","GA",22928,4.7,"66.3"
"union","IL",17212,7.4,"43.1"
"union","IN",7212,4,"46.6"
"union","NJ",555630,5.2,"5216.1"
"union","NM",4183,4.1,"1.2"
"union","NC",226606,4.3,"318.7"
"union","OH",55457,3.8,"121.1"
"union","OR",26087,5.9,"12.6"
"union","PA",45565,4.8,"142.2"
"union","SC",27673,6,"56.3"
"upshur","TX",40969,6.5,"67.4"
"upton","TX",3673,5.4,"2.7"
"utah","UT",592299,3,"257.8"
"val verde","TX",48881,6.3,"15.5"
"valencia","NM",75626,7.2,"71.8"
"van buren","MI",75223,5.5,"125.5"
"van zandt","TX",54355,4.3,"62.4"
"vance","NC",44244,7.2,"179.2"
"vanderburgh","IN",181721,4.1,"769.7"
"venango","PA",52582,7.3,"81.5"
"ventura","CA",849738,5.2,"446.7"
"vermilion","IL",78111,7.2,"90.9"
"vernon","MO",20723,4.8,"25.6"
"victoria","TX",92467,5.4,"98.4"
"vigo","IN",107931,5.4,"267.4"
"vinton","OH",12921,7,"32.6"
"virginia beach city","VA",452602,3.9,"1758.9"
"volusia","FL",529364,5.1,"449.2"
"wabash","IL",11492,6.4,"53.5"
"wabasha","MN",21273,3.7,"41.4"
"wadena","MN",13761,6,"25.8"
"wahkiakum","WA",4139,9,"15.1"
"wake","NC",1046791,4.2,"1078.8"
"wakulla","FL",31893,4.1,"50.8"
"walker","AL",64967,7.6,"84.7"
"walker","GA",67896,5.6,"154"
"walker","TX",71484,5.3,"86.5"
"walla walla","WA",60340,5.6,"46.3"
"waller","TX",50115,5.7,"84.1"
"wallowa","OR",6946,6.7,"2.2"
"walton","FL",65889,4.3,"53"
"walton","GA",90184,4.9,"257.2"
"ward","TX",11600,5.8,"12.8"
"ware","GA",35738,5.5,"40.7"
"warren","GA",5442,7,"20.5"
"warren","IL",17378,5.3,"32.6"
"warren","KY",125532,3.9,"210.1"
"warren","MO",33802,4.2,"75.9"
"warren","NJ",106617,4.6,"304.5"
"warren","NY",64567,5.2,"75.8"
"warren","OH",227063,4.1,"530"
"warren","PA",40025,5.5,"47.3"
"warren","VA",39155,4,"176"
"wasatch","UT",30528,3.3,"20"
"wasco","OR",26115,4.9,"10.6"
"waseca","MN",18911,4.3,"45.2"
"washington","AR",228049,2.7,"215.6"
"washington","CO",4908,2.2,"1.9"
"washington","FL",24569,5.2,"42.7"
"washington","GA",20457,6.4,"31.2"
"washington","IL",14154,3.8,"26.2"
"washington","IN",27670,4.5,"55"
"washington","KS",5546,3.5,"6.5"
"washington","MD",150292,4.9,"322.1"
"washington","MN",253117,3.4,"619.7"
"washington","MS",47231,9,"70.6"
"washington","MO",24839,6.3,"33.2"
"washington","NY",61800,4.6,"76.1"
"washington","NC",12195,7.4,"38"
"washington","OH",60610,6.9,"97.8"
"washington","OR",582779,4.2,"731.4"
"washington","PA",207981,6.2,"242.5"
"washington","TN",127440,4.9,"376.7"
"washington","TX",35056,5.1,"55.8"
"washington","UT",160245,3.7,"56.9"
"washington","VT",58504,3.2,"86.6"
"washington","VA",54214,4.5,"97.8"
"washita","OK",11447,7.2,"11.6"
"washoe","NV",453616,5,"66.9"
"washtenaw","MI",364709,3.4,"488.4"
"watonwan","MN",10908,5,"25.8"
"waukesha","WI",398424,3.6,"709.4"
"waupaca","WI",51533,4.1,"70.1"
"wayne","GA",30104,6.7,"46.9"
"wayne","IL",16396,8.6,"23.5"
"wayne","IN",66568,4.8,"171.5"
"wayne","MI",1749366,6.4,"2974.4"
"wayne","MS",20480,7.3,"25.6"
"wayne","NY",90798,4.9,"155.3"
"wayne","NC",124150,5.8,"221.7"
"wayne","OH",116470,3.9,"206.4"
"wayne","PA",50710,5.9,"72.8"
"wayne","WV",40531,6.5,"84"
"waynesboro city","VA",21887,4.1,"1396.8"
"webb","TX",271193,4.9,"74.5"
"weber","UT",247560,3.8,"401.4"
"webster","GA",2599,8.8,"13.4"
"webster","MS",9767,6.3,"24.4"
"webster","MO",38106,4.9,"61.1"
"weld","CO",294932,3.4,"63.4"
"wells","IN",27949,3.6,"75.1"
"west baton rouge parish","LA",25795,5.3,"123.6"
"westchester","NY",974542,4.2,"2204.7"
"westmoreland","PA",355458,5.9,"355.4"
"westmoreland","VA",17592,4.6,"76.1"
"weston","WY",7236,4.9,"3"
"wexford","MI",33163,5.6,"57.9"
"whatcom","WA",216800,6,"95.5"
"wheeler","GA",7978,9.1,"25.1"
"wheeler","OR",1344,4.3,"0.8"
"white","IL",14292,6.6,"29.6"
"white pine","NV",9682,4.6,"1.1"
"whiteside","IL",56536,5.8,"85.5"
"whitfield","GA",104589,5.9,"353.2"
"whitman","WA",48851,5.1,"20.7"
"wichita","KS",2112,2.5,"3.1"
"wichita","TX",131838,4.4,"209.5"
"wicomico","MD",102577,6,"263.7"
"wilbarger","TX",12892,4.8,"13.9"
"wilcox","AL",10986,14.7,"13.1"
"wilcox","GA",8761,7,"24.5"
"wilkes","GA",9805,6.3,"22.6"
"wilkin","MN",6358,3.3,"8.8"
"wilkinson","GA",9104,6.3,"21.4"
"will","IL",689529,6.1,"809.6"
"willacy","TX",21810,12.4,"37.5"
"williams","OH",37017,4.4,"89.4"
"williamsburg city","VA",15214,5.6,"1559.3"
"williamson","IL",67560,6.2,"157.9"
"williamson","TN",219107,3.5,"314.4"
"williamson","TX",528718,3.3,"378"
"wilson","NC",81661,8.1,"220.6"
"winchester city","VA",27516,3.9,"2838.1"
"windham","CT",116192,5.5,"230.9"
"windham","VT",43145,3.3,"56.7"
"windsor","VT",55496,2.9,"58.5"
"winkler","TX",7893,7.9,"8.5"
"winnebago","IL",285873,6.6,"575.2"
"winnebago","WI",169886,3.7,"384.3"
"winona","MN",50948,3.6,"82.2"
"winston","AL",23805,7.3,"39.9"
"winston","MS",18160,7.1,"31.6"
"wise","TX",64455,4.8,"65.4"
"wood","TX",44227,5.3,"65"
"wood","WI",73107,5,"94.2"
"woodbury","IA",102779,3.6,"117.1"
"woodford","IL",39140,5.4,"73.3"
"woodson","KS",3165,6.2,"6.6"
"worcester","MD",51444,9,"109.9"
"worcester","MA",819589,3.9,"528.6"
"worth","GA",20748,5.9,"38"
"wright","MN",132550,3.9,"188.5"
"wright","MO",18286,5.9,"27.6"
"wyandot","OH",22118,3.7,"55.6"
"wyandotte","KS",163831,5.7,"1039"
"wyoming","NY",40791,5.3,"71.1"
"wyoming","PA",27521,6.2,"71.2"
"wythe","VA",29016,5.7,"63.3"
"yakima","WA",249636,8,"56.6"
"yamhill","OR",105035,4.7,"138.6"
"yancey","NC",17678,5.2,"57"
"yates","NY",24923,4.4,"75"
"yavapai","AZ",225562,4.9,"26"
"yellow medicine","MN",9935,3.9,"13.8"
"yellowstone","MT",158437,3.6,"56.2"
"yolo","CA",215802,5.8,"197.9"
"york","PA",443744,4.7,"481.1"
"york","SC",258526,4.5,"332.2"
"york","VA",67976,3.9,"624.8"
"young","TX",18152,4.4,"20.3"
"yuba","CA",75275,8.5,"114.2"
"yuma","AZ",205631,18.6,"35.5"
"yuma","CO",10103,2.2,"4.2"
"zapata","TX",14349,11,"14"
"zavala","TX",12023,14.1,"9"
